Edible,Color,Shape,Surface
E,Tan-Pale,Convex,Smooth
E,Gray,Convex-Depressed,Smooth
E,Yellow,Depressed-Chanterelles,Smooth
E,Yellow-Orange,Chanterelles-Depressed,Smooth
E,Yellow,Chanterelles-Funnelshaped,Smooth
E,Black,Funnelshaped,Smooth
E,Orange-Red,Convex-Depressed,Smooth
E,Yellow-Orange,Funnelshaped,Smooth
E,White-Pale,Convex-Depressed,Smooth
E,Brown-Gray,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth-FlatScales
E,Gray,Convex-Flat,Smooth
I,Brown,Polypore,Smooth
E,Pale,Polypore-Shellshaped,FlatScales
I,Green-Gray,Polypore-Shellshaped,Velvety
P,Brown,Convex-Bolete,Smooth
P,,Convex-Bolete,Smooth-Velvety
I,Orange,CupFungi,Hairy
P,Orange,CupFungi,Smooth
P,Orange,CupFungi,Hairy
I,Yellow,CupFungi,Smooth-Hairy
E,Brown,Convex-Bolete,Velvety-FlatScales
P,Blue-Green,CupFungi,Smooth
I,Blue,CupFungi,Smooth
E,White-Tan,Puffballs,Smooth-Fibrous
I,White-Yellow,Convex-Flat,Fibrous
E,Brown,Convex-Flat,Fibrous-Patches
E,Brown-Pale,Convex-Bellshaped,Hairy-Fibrous
P,Yellow-Green,CupFungi,Smooth-Fibrous
P,Purple-Violet,Corticioid,Velvety
P,Lilac-Yellow,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
E,Brown,Conical,Fibrous
E,Pale,Convex-Flat,Fibrous
P,Yellow-Brown,Convex-Depressed,Smooth
I,Brown,CupFungi,
P,Red,Stinkhorns,
I,Red,Stinkhorns,
I,Red,Stinkhorns,
P,Yellow,CoralFungi,Smooth
E,Tan-Pale,CoralFungi,Smooth
I,Violet-Purple,CoralFungi,Smooth
I,Pale,CoralFungi,Smooth
E,Yellow-Brown,CoralFungi,Smooth
E,Yellow-Orange,CoralFungi-Depressed,Smooth
E,Purple,CoralFungi,Smooth
E,Gray,CoralFungi,Smooth
E,White,CoralFungi,Smooth
E,White,CoralFungi,Smooth
I,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Orange,CoralFungi,Smooth
P,Brown-Pale,CoralFungi,Smooth
I,Yellow,Polypore-Shellshaped,Velvety
I,White,Shellshaped-ToothFungi,Hairy
I,White,Polypore-Shellshaped,Velvety
P,Gray,Flat-Depressed,Smooth
E,White-Pale,Convex-Depressed,Smooth
E,Pale,Funnelshaped,Smooth
P,Pale-Gray,Convex-Flat,Smooth
E,Violet,Convex-Flat,Smooth
P,White,Flat-Depressed,Smooth
P,Gray-Pale,Convex-Flat,Smooth
P,Brown,Funnelshaped,Smooth
E,Brown-Violet,Convex-Depressed,Smooth
I,Gray,Convex-Depressed,Smooth
E,Pale-Brown,Convex-Flat,Smooth
E,Pale-Gray,Convex-Depressed,Smooth
I,White,Convex-Flat,Smooth
P,White,Convex-Flat,Smooth
I,White,Convex-Depressed,Smooth
I,Brown,Funnelshaped-Flat,Smooth-Silky
I,Brown,Polypore-Funnelshaped,Velvety
P,Red,Stinkhorns,
P,Red,Stinkhorns,
P,Pale-White,Conical,Smooth
P,Brown,Convex-Bellshaped,Smooth
I,Brown-Tan,Conical-Convex,Smooth
I,Brown-Pale,Convex-Depressed,Smooth
P,Brown,Cylindrical,Patches
I,Brown-Pale,Conical-Flat,Patches
P,Brown-Gray,Conical-Convex,Fibrous
P,Brown,Bellshaped,Smooth
E,Pale,Bellshaped,Smooth
E,Gray-Pale,Bellshaped,Smooth
E,Gray,Convex-Flat,Hairy-Fibrous
I,Gray,Cylindrical-Flat,Hairy
E,White,Cylindrical-Conical,Patches-Powder
I,Gray-Brown,Bellshaped-Cylindrical,Fibrous-Patches
I,Blue,Convex,Powder-RaisedScales
E,White,Cylindrical,Patches-Fibrous
P,White,Cylindrical-Bellshaped,Hairy-Fibrous
E,Brown,Convex,Smooth
E,Orange,CoralFungi,
P,Pale-Purple,Convex-Bellshaped,Smooth
I,Gray-Lilac,Convex,
I,Black-Purple,Convex-Flat,Smooth
I,Violet,Convex-Flat,Smooth-Slimy
E,Brown-Yellow,Convex-Knobbed,Smooth
I,Brown,Convex-Bellshaped,Smooth
P,Red,Convex-Bellshaped,FlatScales
E,Violet,Convex-Flat,Smooth
P,Lilac-Purple,Convex,Smooth-Fibrous
I,Brown,Convex-Flat,Smooth
E,Pale-Yellow,Convex-Bellshaped,Smooth
P,Brown,Convex-Conical,Silky
I,Brown,Conical-Bellshaped,Smooth
P,Black-Brown,Convex-Knobbed,Smooth
P,Yellow,Convex,Smooth
P,Black-Gray,Convex-Knobbed,Hairy-Fibrous
E,Yellow,Convex,Smooth
I,Brown,Convex-Knobbed,Hairy-Fibrous
P,Brown,Knobbed,Smooth
I,Lilac-Purple,Bellshaped-Convex,Smooth-Slimy
P,Brown-Orange,Convex-Flat,Smooth
P,Yellow-Orange,Convex,Smooth
P,Brown,Convex-Flat,Smooth
E,Violet,Convex,Smooth
P,Brown,Convex-Bellshaped,Smooth-Silky
E,Brown-Purple,Convex,Fibrous
P,Brown,Convex-Knobbed,Smooth
E,Pink,Convex-Flat,Smooth
I,Blue-Violet,Convex-Flat,Smooth
P,Red,Convex,Fibrous-Silky
P,Brown,Convex-Knobbed,Smooth-Fibrous
P,Brown,Convex-Knobbed,Silky
P,Violet,Convex,Smooth
P,Brown-Lilac,Convex-Bellshaped,Fibrous-Silky
P,Lilac-Purple,Convex,Smooth-Silky
E,Yellow,Convex,Smooth-Fibrous
P,Brown,Convex-Bellshaped,Smooth
I,Orange,Conical-Convex,Smooth
E,Yellow,Convex-Depressed,Smooth
P,Violet,Convex,RaisedScales
E,Black,Funnelshaped,Smooth
E,Brown-Yellow,Chanterelles-Funnelshaped,Fibrous
P,White,Shellshaped,Smooth-Silky
P,White,Shellshaped,Hairy-Fibrous
P,White,Shellshaped,Smooth-Fibrous
P,White-Pale,Shellshaped,Hairy
P,Brown,CupFungi,
I,Yellow-Green,Bellshaped,Hairy
I,Brown,Polypore,Smooth
P,Pale,JellyFungi,Smooth
P,Brown,Convex-JellyFungi,Smooth
E,Orange,Convex-Flat,Smooth-Fibrous
E,White,Convex-Depressed,Smooth
E,Brown,Convex-Bolete,Smooth
I,Gray-Brown,CupFungi,
P,Black-Brown,CupFungi,Hairy
P,Brown-Gray,CupFungi,
E,Pale-Brown,Convex-Flat,Smooth
E,Brown-Black,Convex,Smooth
I,Yellow,Convex-Flat,RaisedScales
I,Brown-Yellow,Conical-Bellshaped,Patches
P,Brown,Convex,Powder
P,Brown,Convex-Flat,RaisedScales
I,Orange,Convex-Bellshaped,RaisedScales
I,White,Convex-Knobbed,Fibrous-Silky
I,Red,Stinkhorns,
E,White,CoralFungi,Smooth
E,Gray,Convex-Bellshaped,Smooth
P,White,Convex-Flat,Patches
E,White,Puffballs,Smooth
E,Yellow,Chanterelles-Funnelshaped,Smooth
P,Yellow,JellyFungi,Smooth
E,Orange,JellyFungi,Smooth
P,Orange,JellyFungi,Smooth
I,Brown,Polypore-Shellshaped,Smooth
E,Brown,Polypore-Shellshaped,Smooth
I,Black,,Smooth
P,Black,Corticioid,Smooth
P,Brown,Convex,Smooth
P,Gray-Brown,Convex-Flat,Smooth
I,Black-Brown,Earthstars,Smooth
E,Brown,CupFungi,Smooth-Silky
E,Brown,CupFungi,Smooth
E,Brown-Yellow,Conical-Knobbed,Smooth
I,Brown,CupFungi,
E,Red,Convex-Bolete,Smooth
P,Brown-Pale,Convex-Flat,RaisedScales
P,Brown,Convex-Bellshaped,RaisedScales
I,Brown,Truffles,FlatScales
P,Black,Convex-Flat,Silky-Fibrous
E,White-Gray,Convex-Flat,Smooth
P,Purple-Gray,Convex-Knobbed,Smooth
P,Brown,Conical-Convex,Smooth
P,Black,Convex,FlatScales
P,Gray-Brown,Convex-Depressed,Smooth
P,Brown,Convex-Bellshaped,Smooth-Fibrous
I,Black-Gray,Convex-Bellshaped,Smooth
P,Blue,Conical,Smooth-Fibrous
P,Green-Brown,Convex-Depressed,
P,Brown,Convex-Bellshaped,Smooth
P,Black,Convex-Depressed,Fibrous
P,Gray,Convex-Flat,Silky
E,White-Brown,Convex-Depressed,Smooth
P,Pale-Tan,Bellshaped,Smooth
E,White,Convex-Conical,Silky-Smooth
P,Brown,Convex-Conical,Smooth
P,White,Convex,Fibrous-Silky
P,Black-Brown,Convex-Knobbed,Smooth
P,Black,Convex-Depressed,Silky-Fibrous
P,White,Convex-Flat,Smooth
P,Brown-Black,Conical-Flat,Smooth
I,Black,JellyFungi,Smooth
P,Black,JellyFungi,Smooth
P,White,JellyFungi,Smooth
E,Brown,JellyFungi,Smooth
P,White,JellyFungi,Smooth
P,White,Corticioid,Hairy
P,Orange,Shellshaped,
P,White,Shellshaped,
I,White-Brown,Convex-Depressed,Fibrous
E,Red,Polypore,Smooth-Silky
P,Brown,Convex-Flat,RaisedScales
E,Orange-Brown,Convex,RaisedScales
E,Brown-Orange,Convex,Smooth
I,Brown-Gray,Polypore-Shellshaped,Smooth
I,Gray,Polypore-Shellshaped,Smooth
E,Gray-Brown,Polypore,Smooth
E,Red-Black,Polypore-Shellshaped,Smooth
I,Yellow-Orange,Convex-Flat,Smooth-Patches
I,Brown-Black,Polypore,Velvety
I,Orange-Brown,Convex-Flat,Smooth-Fibrous
P,Yellow-Brown,Convex-Flat,Smooth
P,Brown,Convex-Conical,Smooth
I,Brown,Convex-Bellshaped,Smooth
P,Brown-Pale,Conical-Convex,Smooth
E,Brown,Convex-Knobbed,Smooth
P,Brown,Conical-Convex,Smooth
I,Black-Brown,CupFungi,Smooth
E,Gray-Brown,Polypore-Shellshaped,Smooth
I,Brown-Black,Polypore-Shellshaped,Velvety
I,Red-Brown,,Smooth
E,Brown-Red,Polypore-Shellshaped,Smooth
I,Red,Shellshaped,Smooth
I,Brown,Shellshaped-Polypore,Smooth
E,Brown,Polypore-Shellshaped,Smooth
I,Brown,Polypore-Shellshaped,Smooth
E,Red,Shellshaped-Polypore,Smooth
I,Gray,Earthstars,Smooth
I,White,Earthstars,
P,Brown,Earthstars,
I,Black,Earthstars,
I,Gray,Earthstars,
I,Gray,Earthstars,Smooth
I,Gray,Earthstars,
P,,Earthstars,
I,Brown-White,Earthstars,
P,Black,CoralFungi,Smooth
P,Black,CoralFungi,Smooth
I,Pale,CupFungi,
E,Brown,Truffles,Hairy
I,Brown,CupFungi,Smooth
P,Green,Convex,Smooth
P,Gray-Brown,Convex-Knobbed,Smooth
E,Orange-Brown,Convex-Depressed,Smooth
I,Green,Convex,Smooth
I,Orange-Brown,Polypore,Velvety-Hairy
E,Lilac-Brown,Convex-Depressed,Smooth
E,Brown-Pale,Convex-Depressed,Smooth
E,Pink-Pale,Convex-Depressed,Smooth
E,Red-Pink,Convex-Flat,Smooth
E,Pink,Convex-Flat,Smooth
E,Pink,Convex-Depressed,Smooth
E,Lilac,Funnelshaped-Depressed,Smooth-Silky
I,Gray-Pale,Convex-Depressed,Smooth-RaisedScales
E,Gray,Polypore,Velvety-Silky
E,Orange,Funnelshaped-JellyFungi,Smooth-Silky
I,Yellow,JellyFungi,Smooth
E,Purple-Yellow,Convex-Flat,Fibrous-FlatScales
I,Purple,Convex-Flat,RaisedScales
E,Orange,Convex,Smooth
E,Pink-Yellow,Convex-Bellshaped,FlatScales
I,Yellow,Convex-Flat,Smooth-Silky
I,Orange-Yellow,Convex-Flat,FlatScales-Fibrous
I,Brown,Convex,Smooth
E,Purple-Black,Convex-Flat,RaisedScales
I,Brown,Convex-Flat,Smooth
E,Yellow,Convex-Flat,Smooth-Fibrous
E,Yellow-Brown,Convex-Flat,Fibrous-FlatScales
E,Brown,Convex,Fibrous
I,Brown,Convex-Depressed,Smooth
P,Brown-Pale,Convex-Bellshaped,Smooth
E,Brown-Pale,Convex,Smooth-Silky
E,Brown,Convex-Flat,Smooth
I,Yellow,Convex,Smooth
P,Orange,Corticioid,Smooth
E,Pale-Brown,Convex-Bolete,Smooth-Silky
P,Brown,FalseMorels,Smooth
E,Brown,FalseMorels,Smooth
P,Brown,FalseMorels,Smooth
I,Brown,FalseMorels,Smooth
E,Pale,Convex-Bolete,Hairy-Fibrous
E,Green-Orange,Convex,Smooth
E,Red,Polypore-Shellshaped,Smooth
I,Brown,Funnelshaped,Hairy
E,Pink,Convex-Bolete,Smooth-Silky
P,Pale-Tan,Convex,Smooth
P,Brown,Convex-Flat,Smooth
P,Tan-Pale,Convex,Smooth-FlatScales
P,Tan,Convex-Flat,Smooth
P,Brown,Convex,Fibrous-FlatScales
I,Brown,CupFungi,Smooth
I,Black-Gray,FalseMorels,Smooth
I,Gray,CupFungi,RaisedScales
P,White,FalseMorels,Smooth
E,Black-Gray,FalseMorels,Smooth
I,Brown,FalseMorels,Smooth
I,Gray,CupFungi,Smooth-Velvety
E,Black,FalseMorels,Smooth
I,White,CupFungi,Smooth
I,Gray-Brown,CupFungi,Smooth-RaisedScales
I,Gray-Black,CupFungi,Hairy
I,Black-Brown,CupFungi,Smooth
E,Black,FalseMorels,Smooth
P,Pale-White,Corticioid,Smooth
E,Brown,Convex-Bolete,Smooth
P,White,Bellshaped-Conical,Smooth
E,White,ToothFungi,Smooth
E,White,ToothFungi,Hairy
E,White,ToothFungi,
I,Black-Brown,Polypore-Shellshaped,Smooth
P,Black-Gray,Convex-JellyFungi,Silky
P,Gray,Convex-Flat,Hairy
E,Brown-Tan,Funnelshaped-Shellshaped,Smooth
E,Brown-Yellow,Convex-Bolete,Silky-FlatScales
E,Brown,Convex-Bolete,Silky-FlatScales
P,Red,Convex-Bolete,Smooth-Silky
I,Brown,CupFungi,Hairy
P,White-Orange,Funnelshaped-ToothFungi,Velvety
P,Orange,ToothFungi-Funnelshaped,Velvety
P,Blue,ToothFungi,Velvety
I,Brown,ToothFungi,Velvety
I,Blue,ToothFungi,RaisedScales-Velvety
P,White-Red,ToothFungi,Velvety
I,Red-White,ToothFungi,Velvety
I,Black-Brown,Funnelshaped-ToothFungi,Velvety
I,,ToothFungi,Velvety
I,White-Brown,ToothFungi,Velvety
E,Orange,ToothFungi-Depressed,Smooth-Silky
E,Orange-Pale,ToothFungi,Smooth
E,Orange,Convex-ToothFungi,Smooth
P,Yellow-Orange,Conical,Smooth
P,Orange,Conical,Smooth
E,Red,Convex,Fibrous
P,Yellow,Convex,Smooth
E,Yellow,Convex-Flat,Smooth
E,Red,Conical-Convex,Smooth
P,Orange,Conical,Smooth
I,Red-Orange,Conical,Silky
E,Yellow,Convex-Flat,Smooth
E,Gray,Conical-Flat,Smooth
I,Red-Orange,Convex-Bellshaped,Smooth
P,Orange,Conical-Flat,Smooth
E,Red,Convex,Smooth-Fibrous
E,Red,Convex-Conical,Smooth
I,Yellow-Orange,Convex-Conical,Smooth
E,Red-Orange,Convex,Smooth
P,Brown,Conical,Smooth-Fibrous
E,Red,Conical-Convex,Smooth
P,Orange,Convex-Depressed,Velvety-Silky
P,Orange-Brown,Convex-Funnelshaped,Smooth
E,Brown-Gray,Convex,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown-Black,Convex-Depressed,Smooth
E,White-Yellow,Convex-Flat,Smooth
E,White,Convex-Depressed,Smooth-Silky
I,White-Pink,Convex-Flat,Smooth
E,Brown,Convex-Depressed,Smooth
E,Brown-Gray,Convex,Smooth
E,Yellow,Bellshaped-Conical,Smooth
E,Gray-Black,Convex,Smooth
E,Brown,Convex-Depressed,Smooth
P,Brown-Gray,Convex-Flat,Smooth
E,Brown,Convex-Knobbed,Smooth
E,Brown-Gray,Convex-Conical,Smooth
E,Pale,Convex-Flat,Smooth
E,Pale-Tan,Convex-Bellshaped,Smooth
E,Brown-Gray,Convex-Bellshaped,Smooth
E,Red-Pink,Convex-Depressed,Smooth
P,Brown,Corticioid,Smooth
P,Brown,Corticioid,Velvety
E,Brown,Convex-Flat,Smooth
P,Yellow,CupFungi,Smooth
P,,Flat-Depressed,Smooth
E,Brown,Convex-Bellshaped,Smooth
P,Yellow,Convex-Flat,Smooth
E,Red-Pink,Convex,Smooth-Fibrous
I,Red,Convex,Smooth
I,Pale,FalseMorels,
I,White,Convex,Patches
E,Orange,Funnelshaped,Smooth
E,White-Tan,Convex,Smooth-FlatScales
E,White,Convex,Smooth
E,White,ToothFungi,Hairy
E,White,Conical-Bellshaped,Fibrous-Smooth
E,White,Stinkhorns,
P,White,Stinkhorns,
E,Brown,Convex-Bolete,Velvety-Silky
I,Red,Convex,Velvety
E,White,Convex-Funnelshaped,Smooth
E,Tan,Funnelshaped,Smooth
I,Yellow-Brown,Shellshaped-Polypore,Velvety-Hairy
E,Brown,Conical-Flat,Fibrous-Smooth
P,Orange,Conical-Bellshaped,Smooth
P,White,Conical-Bellshaped,Smooth-Silky
P,Black-Brown,Convex-Bellshaped,RaisedScales
P,Brown,Convex-Depressed,Hairy-Fibrous
P,Brown,Conical-Flat,Smooth
P,Yellow-Brown,Conical-Knobbed,Fibrous-Silky
E,Brown,Polypore-Shellshaped,Velvety
E,Black,Polypore,
I,Yellow-Brown,Polypore-Shellshaped,Velvety-Smooth
I,Brown-Yellow,Polypore-Shellshaped,Velvety
I,White,Corticioid,
E,Brown,Polypore-Shellshaped,Velvety
E,Brown,Truffles,
P,Gray,Corticioid,Velvety
E,Yellow,Convex-Flat,Smooth
E,Purple,Convex-Depressed,Silky
E,Brown-Pale,Convex-Depressed,Smooth
P,Red-Brown,Convex-Depressed,Smooth
E,Brown,Convex-Flat,Smooth
E,Orange,Convex-Flat,Smooth
E,Pink-Brown,Convex-Depressed,Smooth
I,Yellow,CupFungi,Hairy
E,Yellow-Brown,Convex-Bellshaped,Hairy-Fibrous
P,Lilac,Convex-Depressed,Smooth
I,Gray,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
P,Pale-Pink,Convex-Depressed,Smooth
I,White,Convex-Funnelshaped,Smooth
E,Orange,Convex-Depressed,Smooth
E,Yellow,Convex-Depressed,Smooth
P,Yellow,Convex-Depressed,Smooth
P,Brown,Convex-Flat,Smooth
P,Red-Yellow,Convex-Depressed,Smooth
E,Pink,Convex-Depressed,Smooth
P,Brown,Convex-Depressed,Smooth
E,Blue,Convex-Funnelshaped,Smooth
E,Black,Convex-Depressed,Velvety-Silky
P,Pale-Yellow,Convex-Depressed,Hairy-Fibrous
P,Gray,Convex-Depressed,Smooth-Fibrous
E,Pale-Tan,Convex-Depressed,Smooth
E,Pale,Convex-Depressed,Smooth
E,White,Convex-Depressed,Smooth
E,Orange,Convex-Depressed,Smooth
P,Orange,Convex-Funnelshaped,Smooth
P,White,Convex-Depressed,Hairy-Fibrous
I,Pale-Gray,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
P,Yellow,Convex-Depressed,Hairy-Fibrous
E,Brown,Convex-Funnelshaped,Smooth
E,Brown,Convex-Depressed,Smooth
E,Orange,Convex-Depressed,Smooth
I,Pale,Convex-Depressed,Smooth-Hairy
I,Yellow,Convex-Depressed,Fibrous
E,Orange-Green,Convex-Depressed,Smooth-Patches
I,Brown,Convex-Depressed,Smooth
E,Pink,Convex-Depressed,RaisedScales
E,Brown,Convex-Depressed,Smooth
I,Orange,Convex-Depressed,Smooth
P,Pink,Convex-Depressed,Hairy-Fibrous
I,Brown-Black,Convex-Depressed,Smooth
P,Pale-Lilac,Convex-Depressed,Smooth
I,White,Convex-Depressed,Silky
I,Pale,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
E,Orange,Polypore-Shellshaped,Smooth
E,Yellow-Orange,Polypore-Shellshaped,Smooth
E,,Flat,Velvety-Hairy
E,Orange,Polypore-Shellshaped,Velvety
I,Brown,CupFungi,
E,Yellow-Brown,Convex-Bolete,Silky-FlatScales
E,Pale,Convex-Bolete,Smooth-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Velvety
E,Brown-Pale,Convex-Bolete,Smooth-Silky
E,White,Convex,Smooth
E,Brown,Convex-Bolete,
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Black,Bolete-Convex,Smooth-Silky
E,Orange-Brown,Bolete-Convex,Smooth
E,Brown-Red,Bolete-Convex,Smooth-Silky
E,Brown,Funnelshaped,Smooth
P,Brown,Shellshaped,Hairy-Velvety
E,Brown-Tan,Convex,
I,Brown,Convex-Depressed,Hairy-FlatScales
E,Purple,Shellshaped,RaisedScales
E,Tan-Brown,Convex-Depressed,FlatScales
I,Yellow,Convex-JellyFungi,Smooth
P,Brown-Pale,Convex-Flat,FlatScales
P,Brown,Convex-Bellshaped,FlatScales-Patches
P,White-Brown,Bellshaped-Flat,Fibrous-Hairy
P,White-Brown,Convex-Conical,Smooth-FlatScales
P,White-Brown,Convex-Flat,FlatScales
I,White,Convex,Fibrous
P,Yellow-Brown,Bellshaped-Flat,FlatScales-Fibrous
